|   Rank | Suit      | Card                | Italian Name           | Summary                                                                                                     | Details                                                                                                                                                       |
|      0 | Major     | The Fool            | Il Matto               | Beginnings, innocence, spontaneity, a free spirit, innocence, spontaneity, and a sense of adventure.        | It signifies taking a leap of faith and embracing uncertainty.                                                                                                |
|      I | Major     | The Magician        | Il Mago                | Manifestation, resourcefulness, power, inspired action, power, and resourcefulness.                         | It suggests tapping into one's skills and talents to achieve goals and create desired outcomes.                                                               |
|     II | Major     | The High Priestess  | La Papessa             | Intuition, sacred knowledge, divine feminine, the subconscious mind, wisdom, and the subconscious mind.     | She suggests looking within for answers and trusting one's inner guidance.                                                                                    |
|    III | Major     | The Empress         | L'Imperatrice          | Femininity, beauty, nature, nurturing, abundance, abundance, and fertility.                                 | She represents creativity, beauty, and the nurturing aspects of femininity.                                                                                   |
|     IV | Major     | The Emperor         | L'Imperatore           | Authority, structure, control, fatherhood, structure, and stability.                                        | He represents leadership, responsibility, and the power of reason and discipline.                                                                             |
|      V | Major     | The Hierophant      | Il Papa                | Spiritual wisdom, religious beliefs, conformity, tradition, institutions, spirituality, and belief systems. | He symbolizes guidance, mentorship, and adherence to established norms and values.                                                                            |
|     VI | Major     | The Lovers          | Gli Amanti             | Love, harmony, relationships, values alignment, choices, relationships, and choices.                        | It represents union, harmony, and the alignment of values between partners.                                                                                   |
|    VII | Major     | The Chariot         | Il Carro               | Control, willpower, success, action, determination, determination, and victory.                             | It suggests overcoming obstacles through focus, discipline, and perseverance.                                                                                 |
|   VIII | Major     | Strength            | La Forza               | Strength, courage, persuasion, influence, compassion, courage, and resilience.                              | It suggests facing challenges with confidence, compassion, and self-control.                                                                                  |
|     IX | Major     | The Hermit          | L'Eremita              | Soul-searching, introspection, being alone, inner guidance, solitude, and inner guidance.                   | It represents seeking wisdom, reflection, and spiritual enlightenment.                                                                                        |
|      X | Major     | Wheel of Fortune    | La Ruota della Fortuna | Good luck, karma, life cycles, destiny, a turning point, destiny, and change.                               | It represents luck, fate, and the ups and downs of life's journey.                                                                                            |
|     XI | Major     | Justice             | La Giustizia           | Fairness, truth, law, cause and effect, balance, and accountability.                                        | It symbolizes truth, integrity, and the consequences of one's actions.                                                                                        |
|    XII | Major     | The Hanged Man      | L'Appeso               | Pause, surrender, letting go, new perspectives, sacrifice, and perspective.                                 | It suggests letting go of control, seeing things from a different angle, and embracing change.                                                                |
|   XIII | Major     | Death               | La Morte               | Endings, change, transformation, transition, and rebirth.                                                   | It symbolizes the natural cycle of life, letting go of the old to make way for the new.,                                                                      |
|    XIV | Major     | Temperance          | La Temperanza          | Balance, moderation, patience, purpose, moderation, and harmony.                                            | It represents blending opposites, finding middle ground, and seeking inner peace.                                                                             |
|     XV | Major     | The Devil           | Il Diavolo             | Shadow self, attachment, addiction, restriction, sexuality, materialism, and temptation.                    | It symbolizes unhealthy attachments, illusions of control, and self-imposed limitations.                                                                      |
|    XVI | Major     | The Tower           | La Torre               | Sudden change, upheaval, chaos, revelation, awakening, upheaval, and revelation.                            | It represents breakdowns, crises, and the opportunity for rebuilding and renewal.                                                                             |
|   XVII | Major     | The Star            | L'Appeso               | Hope, faith, purpose, renewal, spirituality, inspiration, and guidance.                                     | It represents optimism, healing, and the promise of a brighter future.                                                                                        |
|  XVIII | Major     | The Moon            | La Luna                | Illusion, fear, anxiety, subconscious, intuition, intuition, and the subconscious mind.                     | It symbolizes uncertainty, dreams, and the exploration of the unseen.                                                                                         |
|    XIX | Major     | The Sun             | Il Sole                | Positivity, fun, warmth, success, vitality, vitality, and success.                                          | It represents clarity, optimism, and the realization of one's potential.                                                                                      |
|     XX | Major     | Judgment            | Il Giudizio            | Judgement, rebirth, inner calling, absolution, accountability, and rebirth.                                 | It symbolizes self-evaluation, forgiveness, and the awakening of higher consciousness.                                                                        |
|    XXI | Major     | The World           | Il Mondo               | Completion, integration, accomplishment, travel, fulfillment, and unity.                                    | It represents wholeness, integration, and the realization of spiritual goals.                                                                                 |
|      1 | Wands     | Ace of Wands        | Asso di Bastoni        | Inspiration, new opportunities, and creative potential.                                                     | It suggests taking action, pursuing passions, and embracing enthusiasm.                                                                                       |
|      2 | Wands     | Two of Wands        | Due di Bastoni         | Planning, preparation, and decision-making.                                                                 | It represents personal power, ambition, and exploring new horizons.                                                                                           |
|      3 | Wands     | Three of Wands      | Tre di Bastoni         | Expansion, foresight, and progress.                                                                         | It suggests taking a leadership role, pursuing long-term goals, and anticipating success.                                                                     |
|      4 | Wands     | Four of Wands       | Quattro di Bastoni     | Celebration, harmony, and stability.                                                                        | It represents achievements, milestones, and joyful gatherings.                                                                                                |
